id;nome;codigo;situacao;cat_administrativa;dep_administrativa;cep;bairro_id;endereco;zona;lat;long;Telefone;email;extensao;porte
1;CM DE TEMPO INTEGRAL CIVICO-MILITAR CAIC MISAEL AGUILAR;29362415;Ativa;Publica;Municipal;48916-773;;RUA DOM LUCAS MOREIRA NEVES, S/N ANTONIO CONSELHEIRO.;Urbana;-9.44172;-40.51409333;(74) 988170630;;NÃO;Entre 501 e 1000 matrículas de escolarização
2;EM 02 DE JULHO;29024935;Ativa;Publica;Municipal;48921-000;;AVENIDA DOS COLONOS, MANICOBA NH 1.;Rural;;;(74) 988242009;;NÃO;Entre 501 e 1000 matrículas de escolarização
3;EM 15 DE JULHO;29024994;Ativa;Publica;Municipal;48921-000;;LOCALIDADE RUA DA BIS/NAGA S/N, PREDIO. PROJETO MANICOBA NH II.;Rural;-9.282946028;-40.28287411;;;NÃO;Entre 501 e 1000 matrículas de escolarização
4;EM 25 DE JULHO;29026130;Ativa;Publica;Municipal;48923-000;;MANDACARU I, S/N ZONA RURAL.;Rural;;;(74) 88068024;;NÃO;Entre 201 e 500 matrículas de escolarização
5;EM AMERICO TANURI - JUNCO;29026601;Ativa;Publica;Municipal;48922-200;;POVOADO GOIABEIRA 1, S/N SALITRE.;Rural;-9.80525502;-40.61377237;;;NÃO;Até 50 matrículas de escolarização
6;EM AMERICO TANURI - MANICOBA;29026148;Ativa;Publica;Municipal;48921-000;;POVOADO LAGOA DA PEDRA, S/N MANICOBA.;Rural;-9.334298333;-40.24413167;(74) 36123354;;NÃO;Até 50 matrículas de escolarização
7;EM ANALIA BARBOSA DE SOUZA;29341256;Ativa;Publica;Municipal;48913-642;;AVENIDA AVENIDA CHEFFY KHOURY, ESCOLA. ANTONIO GUILHERMINO.;Urbana;-9.46465875;-40.49610734;(74) 91552384;;NÃO;Entre 501 e 1000 matrículas de escolarização
8;EM ANTONIO FRANCISCO DE OLIVEIRA;29026482;Ativa;Publica;Municipal;48922-200;;GOIABEIRA II, S/N PREDIO. SALITRE.;Rural;-9.813363;-40.60178;(74) 36123354;;NÃO;Entre 201 e 500 matrículas de escolarização
9;EM ARGEMIRO JOSE DA CRUZ;29429536;Ativa;Publica;Municipal;48916-407;;AVENIDA AVENIDA DO CRUZEIRO, 15 ARGEMIRO.;Urbana;-9.438686667;-40.51861167;(74) 36110018;;NÃO;Entre 501 e 1000 matrículas de escolarização
10;EM BOM JESUS - BARAUNA ITAMOTINGA;29026156;Ativa;Publica;Municipal;48923-000;;FAZENDA BARAUNA, S/N ITAMOTINGA.;Rural;-9.328824165;-39.99959059;(74) 36187055;;NÃO;Até 50 matrículas de escolarização
11;EM BOM JESUS - NH I CURACA;29025907;Ativa;Publica;Municipal;48923-000;;PRJETO CURACA NH1, S/N ITAMOTINGA.;Rural;-9.14763755;-40.08558748;(74) 99777510;;NÃO;Entre 201 e 500 matrículas de escolarização
12;EM CAXANGA;29024650;Ativa;Publica;Municipal;48908-526;;VILA CAXANGA- AREA V-AGROVALE, S/N PREDIO. JARDIM PRIMAVERA.;Urbana;-9.462607889;-40.43853066;(74) 988489702;;NÃO;Entre 51 e 200 matrículas de escolarização
13;EM CELSO CAVALCANTE DE CARVALHO;29025346;Ativa;Publica;Municipal;48920-899;;CAIXA POSTAL COMUNITARIA RUA UM, S/N - PROJETO MANDACARU, S/N PROJETO MANDACARU.;Rural;-9.38678096;-40.42623885;(74) 36177007;;NÃO;Entre 501 e 1000 matrículas de escolarização
14;EM CENTRO SOCIAL URBANO AMERICO TANURI;29024668;Ativa;Publica;Municipal;48905-499;;RUA 01, S/Nº LOTEAMENTO PIO XI. ALTO DO ALENCAR.;Urbana;-9.43650431;-40.49376487;(74) 36112744;;NÃO;Entre 201 e 500 matrículas de escolarização
15;EM CORACAO DE JESUS - JUREMA VERMELHA;29025974;Ativa;Publica;Municipal;48921-000;;POVOADO JUREMA VERMELHA, S/N MANICOBA VELHA.;Rural;-9.19795652;-40.26476887;(74) 998183008;;NÃO;Entre 51 e 200 matrículas de escolarização
16;EM CORACAO DE JESUS - SERRA DA MADEIRA;29026164;Ativa;Publica;Municipal;48923-000;;FAZENDA SERRA DA MADEIRA, S/N DISTRITO DE ITAMOTINGA.;Rural;-9.258782007;-39.98916099;(74) 36187055;;NÃO;Entre 51 e 200 matrículas de escolarização
17;EM DE JATOBA;29025583;Ativa;Publica;Municipal;48921-000;;RUA DAS ALGAROBAS, S/N POVOADO DE JATOBA. MANICOBA.;Rural;-9.2888081;-40.30920755;(74) 36123354;;NÃO;Entre 51 e 200 matrículas de escolarização
18;EM DE PONTAL;29026431;Ativa;Publica;Municipal;48923-970;;POVOADO DE PONTAL, S/N ZONA RURAL.;Rural;-9.08091625;-40.2025726;(74) 988727248;;NÃO;Entre 201 e 500 matrículas de escolarização
19;EM DE TEMPO INTEGRAL PEDRO DIAS;29025834;Ativa;Publica;Municipal;48922-970;;RUA DO COMERCIO, S/N, CENTRO.;Rural;-9.586945;-40.42644333;(74) 988223271;;NÃO;Entre 51 e 200 matrículas de escolarização
20;EM DE TEMPO INTEGRAL PROFª IRACEMA PEREIRA DA PAIXAO;29450004;Ativa;Publica;Municipal;48904-711;;RUA RUA EDGARD CHASTINET, 00 SAO GERALDO.;Urbana;-9.422457358;-40.48349177;(74) 36123354;;NÃO;Entre 51 e 200 matrículas de escolarização
21;EM DEPUTADO RAIMUNDO DA CUNHA LEITE;29026890;Ativa;Publica;Municipal;48922-400;;LOCALIDADE, ESCOLA. JUREMAL.;Rural;-9.73059904;-40.3603198;(74) 36175002;;NÃO;Entre 51 e 200 matrículas de escolarização
22;EM DOM AVELAR BRANDAO VILELA;29024927;Ativa;Publica;Municipal;48904-621;;R. QUADRA 13, S/N PREDIO. JOAO PAULO II.;Urbana;-9.47396749;-40.49754378;(74) 36125265;;NÃO;Entre 501 e 1000 matrículas de escolarização
23;EM DOUTOR EDSON RIBEIRO;29026024;Ativa;Publica;Municipal;48921-000;;POVOADO DE CONCHAS, S/N CONCHAS. MANICOBA.;Rural;-9.26713237;-40.2988618;(74) 36123354;;NÃO;Entre 51 e 200 matrículas de escolarização
24;EM DURVAL BARBOSA DA CUNHA;29026911;Ativa;Publica;Municipal;48920-899;;POVOADO DE POCOES, AREA RURAL DE JUAZEIRO.;Rural;;;(74) 36175004;;NÃO;Até 50 matrículas de escolarização
25;EM EDUCANDARIO JOAO XXIII;29401610;Ativa;Publica;Municipal;48900-120;;RUA IMACULADA CONCEICAO, S/N PIRANGA.;Urbana;-9.43557486;-40.50333891;;;NÃO;Entre 201 e 500 matrículas de escolarização
26;EM ELISEU SANTOS;29026113;Ativa;Publica;Municipal;48923-000;;PROJETO CURACA - CAJ, S/N PREDIO. ITAMOTINGA.;Rural;-9.177963333;-40.02425833;(74) 36173089;;NÃO;Entre 51 e 200 matrículas de escolarização
27;EM ESTACAO DO SABER JOSE CARLOS TANURI;29480027;Ativa;Publica;Municipal;48900-160;;RUA DA ESTACAO, 77 PIRANGA.;Urbana;-9.42954777;-40.50367505;;;NÃO;Entre 51 e 200 matrículas de escolarização
28;EM EURIDICE RIBEIRO VIANA;29026199;Ativa;Publica;Municipal;48920-899;;QUIPA, AREA RURAL DE JUAZEIRO.;Rural;-9.376066416;-40.35038958;(74) 99883138;;NÃO;Entre 51 e 200 matrículas de escolarização
29;EM FAMILIA UNIDA;29026202;Ativa;Publica;Municipal;48921-000;;RIACHO DA MASSAROCA, S/N PREDIO. MANICOBA.;Rural;-9.305575;-40.19206833;(74) 88367939;;NÃO;Até 50 matrículas de escolarização
30;EM HELENA CELESTINO MAGALHAES;29025087;Ativa;Publica;Municipal;48906-608;;R. QUADRA B, 00765 CASTELO BRANCO.;Urbana;-9.438700522;-40.49246879;(74) 36124378;;NÃO;Entre 501 e 1000 matrículas de escolarização
31;EM JOAO DIAS FERREIRA;29026741;Ativa;Publica;Municipal;48922-200;;POVOADO DE ALFAVACA, S/N SALITRE.;Rural;-9.623676667;-40.64615333;;;NÃO;Entre 51 e 200 matrículas de escolarização
32;EM JOAO NEVES DE ALMEIDA;29025222;Ativa;Publica;Municipal;48922-200;;POVOADO DE MARRUA, SALITRE.;Rural;-9.766072808;-40.60344729;(74) 36123354;;NÃO;Entre 51 e 200 matrículas de escolarização
33;EM JOCA DE SOUZA OLIVEIRA;29025168;Ativa;Publica;Municipal;48902-503;;RUA CARLOS DRUMOND DE ANDRADE, 29 MARINGA.;Urbana;-9.41599597;-40.51427527;(74) 36110041;;NÃO;Entre 201 e 500 matrículas de escolarização
34;EM JOSE DE AMORIM;29026636;Ativa;Publica;Municipal;48922-971;;UNIDADE OPERACIONAL RUA PRINCIPAL, S/N JUNCO.;Rural;-9.48654334;-40.61555224;(74) 988183313;;NÃO;Entre 201 e 500 matrículas de escolarização
35;EM JOSE PADILHA DE SOUZA;29025370;Ativa;Publica;Municipal;48905-259;;RUA RUA SANTA HELENA, S/N ALTO DO CRUZEIRO.;Urbana;-9.428161;-40.49674;(74) 36120372;;NÃO;Entre 201 e 500 matrículas de escolarização
36;EM JUDITE LEAL COSTA;29025176;Ativa;Publica;Municipal;48904-245;;TRAVESSA PAULO VI, S/N SANTA MARIA GORETTI.;Urbana;-9.41948283;-40.499407;(74) 36114939;;NÃO;Entre 201 e 500 matrículas de escolarização
37;EM LINDAURA MARIA DE JESUS;29025923;Ativa;Publica;Municipal;48924-000;;FAZENDA RODEADOR,;Rural;;;(74) 999777510;;NÃO;Até 50 matrículas de escolarização
38;EM LUCIA CARMEM SOBREIRA;29026644;Ativa;Publica;Municipal;48922-200;;POVOADO DE HORTO FLORESTAL, S/N SALITRE.;Rural;-9.453831667;-40.51304;(74) 91001290;;NÃO;Entre 51 e 200 matrículas de escolarização
39;EM LUDGERO DE SOUZA COSTA;29025184;Ativa;Publica;Municipal;48904-375;;RUA SANTA TEREZINHA, S/N LOMANTO JUNIOR.;Urbana;-9.42504242;-40.49675783;(74) 36121731;;NÃO;Entre 201 e 500 matrículas de escolarização
40;EM LUIS CURSINO DA FRANCA CARDOSO;29024714;Ativa;Publica;Municipal;48906-680;;CAMINHO CAMINHO 12, S/N RUA C. TANCREDO NEVES.;Urbana;-9.443231318;-40.48944033;;;NÃO;Entre 201 e 500 matrículas de escolarização
41;EM MANDACARU;29025206;Ativa;Publica;Municipal;48908-524;;AVENIDA MANDACARU, S/N JARDIM PRIMAVERA.;Urbana;-9.45571047;-40.41721123;;;NÃO;Entre 201 e 500 matrículas de escolarização
42;EM MANOEL DE SOUZA BONFIM;29025672;Ativa;Publica;Municipal;48922-700;;AVENIDA ALFREDO VIANA, 37 DISTITO DE ABOBORA.;Rural;;;(74) 36179072;;NÃO;Entre 201 e 500 matrículas de escolarização
43;EM MANOEL GOMES MARTINS;29026440;Ativa;Publica;Municipal;48920-899;;PORTO DE PEDRA, PROJETO MANDACARU.;Rural;-9.370129975;-40.43047146;(74) 36110549;;NÃO;Entre 51 e 200 matrículas de escolarização
44;EM MANOEL LUIZ DA SILVA;29026296;Ativa;Publica;Municipal;48921-000;;POVOADO DE CAMPOS, S/N PREDIO. MANICOBA.;Rural;-9.353545;-40.23555333;(74) 36123354;;NÃO;Entre 51 e 200 matrículas de escolarização
45;EM MANOEL NUNES AMORIM;29341710;Ativa;Publica;Municipal;48920-899;;RUA PRINCIPAL, S/N SEDE. JUNCO - SALITRE - AREA RURAL DE JUAZEIRO.;Rural;-9.674534043;-40.60536875;(74) 36115110;;NÃO;Entre 51 e 200 matrículas de escolarização
46;EM MARIA DO CARMO SA NOGUEIRA;29026652;Ativa;Publica;Municipal;48922-200;;FAZENDA SOBRADINHO, S/N SALITRE.;Rural;-9.855908333;-40.62895833;(74) 988521337;;NÃO;Até 50 matrículas de escolarização
47;EM MARIA MONTEIRO BACELAR;29026660;Ativa;Publica;Municipal;48922-200;;LOCALIDADE, 95 RODEADOURO.;Rural;-9.4710053;-40.57250341;(74) 36184001;;NÃO;Entre 51 e 200 matrículas de escolarização
48;EM MARIANO RODRIGUES DE SOUZA;29025230;Ativa;Publica;Municipal;48923-000;;POVOADO DE GUANHAES, CASA. ITAMOTINGA.;Rural;-9.09635162;-40.09815968;(74) 36173009;;NÃO;Entre 51 e 200 matrículas de escolarização
49;EM MIGUEL ANGELO DE SOUZA;29026679;Ativa;Publica;Municipal;48922-200;;LOCALIDADE CURRAL NOVO, SALITRE.;Rural;-9.52456037;-40.64385805;(74) 91001290;;NÃO;Entre 51 e 200 matrículas de escolarização
50;EM NOSSA SENHORA DAS GROTAS - BOQUEIRAO;29026105;Ativa;Publica;Municipal;48921-000;;POVOADO BOQUEIRAO, ZONA RURAL.;Rural;-9.377819658;-40.29474179;(74) 36178287;;NÃO;Entre 51 e 200 matrículas de escolarização
51;EM NOSSA SENHORA DAS GROTAS - SEDE;29025311;Ativa;Publica;Municipal;48903-267;;RUA RUA DO SOCORRO, S/N PROX. A PC DA MONICA. ALAGADICO.;Urbana;-9.416151;-40.50497;(74) 988145446;;NÃO;Entre 201 e 500 matrículas de escolarização
52;EM NOSSA SENHORA RAINHA DOS ANJOS;29025958;Ativa;Publica;Municipal;48920-899;;FAZENDA LAGOA GRANDE, MANICOBA.;Rural;;;(74) 91957370;;NÃO;Até 50 matrículas de escolarização
53;EM OSORIO TELES DE MENEZES;29025869;Ativa;Publica;Municipal;48922-970;;RUA VERMELHA, S/N CENTRO.;Rural;-9.592821667;-40.41884833;(74) 988590531;;NÃO;Entre 51 e 200 matrículas de escolarização
54;EM PAULO FREIRE;29461359;Ativa;Publica;Municipal;48922-200;;ASSENTAMENTO SAO FRANCISCO - SALITRE DISTRITO DE JUNCO, S/N INTERIOR. SALITRE DISTRITO DE JUNCO.;Rural;-9.48576838;-40.73041238;(74) 36123354;;NÃO;Entre 51 e 200 matrículas de escolarização
55;EM PAULO VI;29024587;Ativa;Publica;Municipal;48904-245;;TRAVESSA PAULO VI, PREDIO. SANTA MARIA GORETTI.;Urbana;-9.419825;-40.499325;(74) 36115675;;NÃO;Entre 501 e 1000 matrículas de escolarização
56;EM PREFEITO APRIGIO DUARTE;29025362;Ativa;Publica;Municipal;48907-201;;RUA B, S/N RESIDENCIAL JUAZEIRO. ITABERABA.;Urbana;-9.449955;-40.47512667;(74) 988320498;;NÃO;Entre 201 e 500 matrículas de escolarização
57;EM PRESIDENTE TANCREDO NEVES;29401600;Ativa;Publica;Municipal;48913-146;;CAMINHO CAMINHO 22, DOM JOSE RODRIGUES.;Urbana;-9.452712634;-40.51335784;(74) 36110037;;NÃO;Entre 501 e 1000 matrículas de escolarização
58;EM PROF CARLOS DA COSTA SILVA;29415160;Ativa;Publica;Municipal;48902-380;;RUA ALMIRANTE TAMANDARE, S/N COUNTRY CLUB.;Urbana;-9.416878;-40.51925;(74) 36110021;;NÃO;Entre 51 e 200 matrículas de escolarização
59;EM PROF JOSE PEREIRA DA SILVA;29405106;Ativa;Publica;Municipal;48906-788;;AVENIDA AVENIDA SAO FRANCISCO, S/N ITABERABA.;Urbana;-9.449707344;-40.48237639;(74) 988542694;;NÃO;Entre 501 e 1000 matrículas de escolarização
60;EM PROF MATILDE COSTA MEDRADO;29025770;Ativa;Publica;Municipal;48922-000;;CARNAIBA DE DENTRO, S/N ZONA RURAL. CARNAIBA DO SERTAO.;Rural;-9.583793333;-40.37273333;(74) 988526535;;NÃO;Entre 51 e 200 matrículas de escolarização
61;EM PROF PEDRO RAYMUNDO RODRIGUES REGO;29025478;Ativa;Publica;Municipal;48900-042;;PRACA PRACA ANTONIO TANURY, PIRANGA.;Urbana;-9.43355759;-40.50829139;(74) 999207201;;NÃO;Entre 501 e 1000 matrículas de escolarização
62;EM PROFª ANTONILA DA FRANCA CARDOSO;29026873;Ativa;Publica;Municipal;48922-400;;LOCALIDADE DE ANGICO,;Rural;;;;;NÃO;Entre 51 e 200 matrículas de escolarização
63;EM PROFª ATANILHA LUZ ARAUJO;29026989;Ativa;Publica;Municipal;48922-600;;RUA DOS BUTINS, S/N PREDIO. MASSAROCA.;Rural;-9.874681;-40.28399;;;NÃO;Entre 51 e 200 matrículas de escolarização
64;EM PROFª BERNADETE BRAGA;29026695;Ativa;Publica;Municipal;48922-200;;POVOADO GANGORRA II, S/N SALITRE.;Rural;-9.82768;-40.621945;;;NÃO;Até 50 matrículas de escolarização
65;EM PROFª CARMEN COSTA SANTOS;29024692;Ativa;Publica;Municipal;48909-241;;AVENIDA IRMA DULCE, S/N ALTO DA ALIANCA.;Urbana;-9.44759701;-40.49795363;;;NÃO;Entre 501 e 1000 matrículas de escolarização
66;EM PROFª CRENILDES LUIZ BRANDAO;29024900;Ativa;Publica;Municipal;48904-115;;RUA RUA ALFREDO NUNES DE OLIVEIRA, S/N COREIA.;Urbana;-9.416252;-40.49656;;;NÃO;Entre 201 e 500 matrículas de escolarização
67;EM PROFª DINORAH ALBERNAZ MELO DA SILVA;29025036;Ativa;Publica;Municipal;48906-798;;RUA RUA PETRONILIO BRITO DOS SANTOS, S/N ITABERABA.;Urbana;-9.44842147;-40.48518834;;;NÃO;Entre 501 e 1000 matrículas de escolarização
